,questions,prompt,option_1,option_2,option_3,option_4,option_5
m01,为个人生活或家庭生活留有充足的时间,"在不考虑当前工作的情况下，请你设想一个理想的工作。在选择理想工作时，你认为下面一项表述：“{question}” 对你的重要程度是：

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 最重要,2 = 很重要,3 = 一般重要,4 = 不太重要,5 = 不重要或完全不重要
m02,一个让你尊敬的老板（直接上司）,,,,,,
m03,表现优良时给予认可,,,,,,
m04,工作稳定有保障,,,,,,
m05,与友善的人共事,,,,,,
m06,有趣的工作内容,,,,,,
m07,当上司的决定涉及到你的工作时，他会咨询你的意见                            ,,,,,,
m08,舒适的工作环境,,,,,,
m09,该工作受到你的朋友和家人的尊重,,,,,,
m10,有升职的机会,,,,,,
m11,留有自由娱乐的时间,"在你的私人生活中，你认为下面一项表述：“{question}” 对你的重要程度是：

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 最重要,2 = 很重要,3 = 一般重要,4 = 不太重要,5 = 不重要或完全不重要
m12,节制：没有多少欲望,,,,,,
m13,帮助朋友，慷慨大方,,,,,,
m14,节俭 (除必要花销外，不多花钱),,,,,,
m15,,"你经常感到焦虑不安吗?

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 总是,2 = 经常,3 = 有时,4 = 很少,5 = 从不
m16,,"你是个快乐的人吗?

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 总是,2 = 经常是,3 = 有时是,4 = 很少是,5 = 从不是
m17,,"他人或外界是否经常阻拦你做你真正想做的事?

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 是的，总是,2 = 是的，经常,3 = 有时,4 = 不，很少,5 = 不，从不
m18,,"总的来说，你如何描述你近来的健康状况?

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 很好,2 = 好,3 = 一般,4 = 不好,5 = 很不好
m19,,"作为{{nation}}公民，你感到自豪吗?

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 很自豪,2 = 自豪,3 = 有些自豪,4 = 不太自豪,5 = 一点也不自豪
m20,,"据你的经验，下属是否经常害怕与上司争论（或者学生与老师争论）?

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 从不害怕,2 = 很少害怕,3 = 有时害怕,4 = 经常害怕,5 = 总是害怕
m21,"21. 即使不能对下属提出的关于工作的问题一一给出准确的答案，也可以成为一个好经理
","你多大程度上同意以下说法？""{{question}}""

{{options}}

设想你来自{{nation}}，出生地同样是{{nation}}。目前，你在{{city}}的一家中型公司工作。年龄为{{age}}岁，性别为{{gender}}。请根据随后的设定选择最符合你的答案，并以JSON格式回答。",1 = 非常同意,2 = 同意,3 = 不确定,4 = 反对,5 = 强烈反对
m22,持续的努力是取得好结果最可靠的方式,,,,,,
m23,23. 无论如何都要避免一个组织中有两个领头人,,,,,,
m24,"24. 即使员工认为打破公司制度是为了公司的最佳利益，公司或组织的制度都不应该被打破
",,,,,,
